STACK LOGFILE
Time: 16:12:29
Day:  Saturday
=======================================================================================
|Name_stack: |Command:    |Argument:     |Stack size: |Status?                         
|            |                                        |
|=====================================================|
| Stack information:                                  |
| Address:            0x7ff7bc7f2648                  |
| Size:               0                               |
| Capacity:           10                              |
| Data:               0x6000038840a0                  |
|                                                     |
| Elements:                                           |
|        1:         -2.61803                          |
|        2:         -5.23607                          |
|        3:         -3                                |
|        4:         -1                                |
|        5:         0                                 |
|        6:         0                                 |
|        7:         0                                 |
|        8:         0                                 |
|        9:         0                                 |
|       10:         0                                 |
|=====================================================|
|            |            |              |            |
|&p_cpu->Stack|stack_dtor  | -            |0           |OK
|            |            |              |            |
|&p_cpu->CallStack|stack_dtor  | -            |0           |OK
|            |            |              |            |
THIS IS THE END!
